Alpha,Cl
0.1956192854956396,-0.057113596985467
0.2061073738537634,-0.0577118564837422
0.2167968815375835,-0.0582402522790943
0.2276804824924864,-0.0586988363886709
0.2387507176420255,-0.0590878055931527
0.2499999999999999,-0.0594074999999999
0.2614206198701957,-0.0596584007615625
0.2730047501302266,-0.0598411269897427
0.2847444515958524,-0.0599564319153177
0.2966316784620998,-0.0600051983458459
0.3086582838174551,-0.0599884334812679
0.3208160252273498,-0.0599072631508116
0.3330965703831146,-0.0597629255385877
0.3454915028125263,-0.0595567644682919
0.3579923276480386,-0.0592902223196843
0.3705904774487396,-0.0589648326509881
0.3832773180720472,-0.0585822126020351
0.3960441545911204,-0.0581440551528806
0.4088822372539262,-0.0576521213117385
0.4217827674798845,-0.0571082323044601
0.4347369038899742,-0.0565142618354296
